date,Sales,Price Discount (%),In-Store Promo,Catalogue Promo,Store End Promo,Product_SKU1,Product_SKU2,Product_SKU3,Product_SKU4,Product_SKU5,Product_SKU6
2018-09-16,86576,0.44,1,0,0,1,0,0,0,0,0
2018-09-23,49548,0.17,1,0,0,1,0,0,0,0,0
2018-09-30,67966,0.17,0,0,0,1,0,0,0,0,0
2018-10-07,33433,0.0,0,0,0,1,0,0,0,0,0
2018-10-14,31482,0.0,0,0,0,1,0,0,0,0,0
2018-10-21,32196,0.0,0,0,0,1,0,0,0,0,0
2018-10-28,32717,0.0,0,1,1,1,0,0,0,0,0
2018-11-04,97972,0.44,1,0,1,1,0,0,0,0,0
2018-11-11,51495,0.17,1,0,1,1,0,0,0,0,0
2018-11-18,52048,0.17,0,1,1,1,0,0,0,0,0
2018-11-25,52532,0.17,1,0,1,1,0,0,0,0,0
2018-12-02,59037,0.17,0,1,1,1,0,0,0,0,0
2018-12-09,109917,0.44,0,1,1,1,0,0,0,0,0
2018-12-16,80431,0.28,0,1,1,1,0,0,0,0,0
2018-12-23,174994,0.28,1,0,1,1,0,0,0,0,0
2018-12-30,96211,0.28,0,0,0,1,0,0,0,0,0
2019-01-06,40420,0.0,0,0,0,1,0,0,0,0,0
2019-01-13,34603,0.0,1,0,1,1,0,0,0,0,0
2019-01-20,48759,0.17,1,0,1,1,0,0,0,0,0
2019-01-27,58215,0.17,0,0,0,1,0,0,0,0,0
2019-02-03,30561,0.0,0,0,0,1,0,0,0,0,0
2019-02-10,29867,0.0,1,0,1,1,0,0,0,0,0
2019-02-17,48001,0.17,0,0,0,1,0,0,0,0,0
2019-02-24,30016,0.0,0,0,0,1,0,0,0,0,0
2019-03-03,30502,0.0,0,0,0,1,0,0,0,0,0
2019-03-10,32103,0.0,0,0,0,1,0,0,0,0,0
2019-03-17,29664,0.0,0,0,0,1,0,0,0,0,0
2019-03-24,28997,0.0,1,0,0,1,0,0,0,0,0
2019-03-31,52930,0.17,1,0,0,1,0,0,0,0,0
2019-04-07,55859,0.17,1,0,0,1,0,0,0,0,0
2019-04-14,59375,0.17,0,1,0,1,0,0,0,0,0
2019-04-21,119393,0.44,0,0,0,1,0,0,0,0,0
2019-04-28,31741,0.0,1,0,1,1,0,0,0,0,0
2019-05-05,43820,0.17,1,0,1,1,0,0,0,0,0
2019-05-12,46628,0.17,0,0,0,1,0,0,0,0,0
2019-05-19,28457,0.0,1,0,1,1,0,0,0,0,0
2019-05-26,40402,0.17,0,0,0,1,0,0,0,0,0
2019-06-02,28521,0.0,0,1,0,1,0,0,0,0,0
2019-06-09,85108,0.44,1,0,1,1,0,0,0,0,0
2019-06-16,44596,0.17,0,0,0,1,0,0,0,0,0
2019-06-23,30099,0.0,1,0,1,1,0,0,0,0,0
2019-06-30,46193,0.17,0,0,0,1,0,0,0,0,0
2019-07-07,31093,0.0,0,0,0,1,0,0,0,0,0
2019-07-14,31099,0.0,0,0,0,1,0,0,0,0,0
2019-07-21,31866,0.0,0,0,0,1,0,0,0,0,0
2019-07-28,31386,0.0,0,0,0,1,0,0,0,0,0
2019-08-04,29985,0.0,0,0,0,1,0,0,0,0,0
2019-08-11,31628,0.0,0,0,0,1,0,0,0,0,0
2019-08-18,33665,0.0,0,0,0,1,0,0,0,0,0
2019-08-25,34550,0.0,0,0,0,1,0,0,0,0,0
2019-09-01,36320,0.0,1,0,0,1,0,0,0,0,0
2019-09-08,55431,0.17,1,0,0,1,0,0,0,0,0
